mask_method,asym_masked_token_ratio,sym_masked_token_ratio,sym_masked_atom_ratio
token,0.7739130434782608,0.7739130434782608,0.4119106699751861
token,0.5578125,0.94375,0.44237244237244233
token,0.022336769759450172,0.044673539518900345,0.02277520033741043
token,0.8599605522682445,1.0,0.4893797790994052
entity,0.284375,0.284375,0.1418985593053088
token,0.4375,0.6953125,0.3271918678526048
atom,1.0,1.0,0.43495630461922596
token,0.95625,0.99375,0.47024912497426397
entity,0.9953125,0.9953125,0.5154403354937095
entity,0.009375,0.009375,0.0120550009417969
entity,0.0796875,0.0796875,0.07118860982242836
all,1.0,1.0,0.48579970104633785
atom,1.0,1.0,0.4154126766985864
entity,0.4609375,0.4609375,0.17246363718493085
atom,1.0,1.0,0.4650630011454754
atom,1.0,1.0,0.4410583510512639
all,1.0,1.0,0.45462292288027273
token,0.8320251177394035,0.8822605965463108,0.4285055350553506
atom,1.0,1.0,0.42871613066599135
entity,0.0688,0.0688,0.07603643799962823
entity,0.5151515151515151,0.5151515151515151,0.29034635224760497
entity,0.9124797406807131,0.9124797406807131,0.4638694638694638
atom,0.9538461538461539,0.9538461538461539,0.44746162927981115
token,0.9816053511705686,1.0,0.48978741142142557
atom,0.9294871794871795,0.9294871794871795,0.4385868570382574
token,0.31886477462437396,0.333889816360601,0.23594791997459508
entity,0.2222222222222222,0.2222222222222222,0.1366061899679829
all,0.8734375,0.8734375,0.45640305724535957
all,1.0,1.0,0.464354527938343
entity,0.9546875,0.9546875,0.44363367174280877
atom,1.0,1.0,0.40531071362714366
token,0.3328125,0.775,0.44928186714542195
token,0.8857142857142857,0.9301587301587302,0.46804835924006905
token,0.6421875,0.66875,0.3362369337979094
atom,1.0,1.0,0.35246995994659547
entity,0.1546875,0.1546875,0.07242603550295856
all,1.0,1.0,0.49741602067183466
token,0.9046875,0.91875,0.46665298584034476
atom,1.0,1.0,0.44282310899344846
token,0.8972602739726028,0.9657534246575342,0.4637257507307999
entity,0.050955414012738856,0.050955414012738856,0.0015364354697102733
atom,0.933993399339934,0.933993399339934,0.44564286937168296
entity,0.9859375,0.9859375,0.4882096069868995
token,0.209375,0.209375,0.10532822351341331
entity,0.9491525423728814,0.9491525423728814,0.46008987802268353
token,0.33125,1.0,0.46510656080234014
atom,1.0,1.0,0.42263035676588556
entity,0.5984375,0.5984375,0.2266902342023862
atom,1.0,1.0,0.46342794759825323
atom,1.0,1.0,0.4030382150486589
entity,0.05054151624548736,0.05054151624548736,0.0
token,0.5781758957654723,0.742671009771987,0.42270742358078606
token,0.2766798418972332,0.2766798418972332,0.144963144963145
entity,0.75,0.75,0.2872458410351202
all,1.0,1.0,0.48586118251928023
token,0.88125,0.88125,0.4053907380607815
atom,1.0,1.0,0.4119665451426121
all,1.0,1.0,0.47392996108949415
entity,0.91875,0.91875,0.41650066401062413
entity,0.8876404494382022,0.8876404494382022,0.4982148653034729
token,0.784375,0.9796875,0.47620004016870854
entity,0.8528138528138528,0.8528138528138528,0.4964777947932618
token,0.28180354267310787,0.7133655394524959,0.36413684624459297
atom,1.0,1.0,0.43889328063241106
token,0.5451612903225806,0.5451612903225806,0.29481733220050976
atom,1.0,1.0,0.42948207171314745
token,0.8076923076923077,0.8653846153846154,0.42400000000000004
token,0.9375,0.9609375,0.49289638189050955
all,1.0,1.0,0.5117299256151058
token,0.4703125,0.4703125,0.20992573809092552
token,0.2504930966469428,0.2504930966469428,0.12763192097738496
token,0.4421875,0.4578125,0.21554516012954306
token,0.1234375,0.1234375,0.08714596949891062
entity,0.6730769230769231,0.6730769230769231,0.3828571428571429
token,0.50625,0.7828125,0.34008733624454146
atom,1.0,1.0,0.4265169424743893
all,1.0,1.0,0.4463331714424478
atom,1.0,1.0,0.4423541247484909
atom,1.0,1.0,0.3948370715192552
all,1.0,1.0,0.4868711164562036
entity,0.05737704918032787,0.05737704918032787,0.03122537431048067
entity,0.5109375,0.5109375,0.2670473631172321
all,1.0,1.0,0.4891756869275604
token,0.6115107913669064,0.8633093525179856,0.29924502402196296
token,0.3944954128440367,0.3944954128440367,0.10576923076923073
atom,0.9852216748768473,0.9852216748768473,0.36780821917808215
token,0.815625,0.815625,0.3273789075918928
entity,0.8254716981132075,0.8254716981132075,0.48968713789107765
entity,0.05345911949685535,0.05345911949685535,0.05691924581999286
atom,1.0,1.0,0.41053711939787885
all,1.0,1.0,0.5064584538268748
atom,1.0,1.0,0.44905736060970713
atom,1.0,1.0,0.3634651600753296
atom,1.0,1.0,0.46509803921568627
all,1.0,1.0,0.4902597402597403
token,0.26875,0.26875,0.13043478260869568
token,0.790625,0.790625,0.3430283360379478
token,0.6796875,0.9171875,0.4255390272438576
atom,1.0,1.0,0.40959894806048647
entity,0.921875,0.921875,0.43252673044456946
atom,1.0,1.0,0.4402503027856278
atom,1.0,1.0,0.4546021840873635
token,0.640625,0.790625,0.3856095679012346
atom,1.0,1.0,0.3817899637868598
atom,1.0,1.0,0.3728613569321534
token,0.9265625,0.9265625,0.4183406113537118
token,0.28515625,0.671875,0.3804713804713805
atom,1.0,1.0,0.42447058823529416
token,0.2755905511811024,0.2755905511811024,0.1875070597537558
entity,0.33125,0.33125,0.11418072945019053
token,0.034375,0.034375,0.014617006324666226
entity,0.045454545454545456,0.045454545454545456,0.0
entity,0.08304498269896193,0.08304498269896193,0.08551266085512665
